Barcode	Date	State	Subtype	Strain	H1	H3	N1	N2	Constellation	WGS
A02431607	2019-03-25	PA	H1N1	A/swine/Pennsylvania/A02431607/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02431146	2019-03-06	SD	H1N2	A/swine/South_Dakota/A02431146/2019	delta1b	NA	NA	2002A	TTTPPT	TRUE
A02245008	2019-03-11	TX	H3N2	A/swine/Texas/A02245008/2019	NA	2010.1	NA	2002A	TTTPPT	TRUE
A02431019	2019-03-06	TX	H1N1	A/swine/Texas/A02431019/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02245003	2019-03-06	VA	H1N1	A/swine/Virginia/A02245003/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02431990	2019-04-02	IL	H1N1	A/swine/Illinois/A02431990/2019	gamma	NA	Classical	NA	TTTTPT	TRUE
A02432162	2019-04-10	IL	H3N2	A/swine/Illinois/A02432162/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432261	2019-04-16	IL	H1N2	A/swine/Illinois/A02432261/2019	delta1a	NA	NA	2002B	NA	FALSE
A02478448	2019-04-26	IL	H1N2	A/swine/Illinois/A02478448/2019	alpha	NA	NA	1998B	TTTTPT	TRUE
A01797992	2019-04-24	IN	H3N2	A/swine/Indiana/A01797992/2019	NA	2010.1	NA	TX98	TTTTPT	TRUE
A01797998	2019-04-24	IN	H1N2	A/swine/Indiana/A01797998/2019	delta2	NA	NA	2002B	TTTTPT	TRUE
A01812290	2019-04-01	IN	H3N2	A/swine/Indiana/A01812290/2019	NA	2010.1	NA	2002B	NA	FALSE
A01812291	2019-04-08	IN	H1N2	A/swine/Indiana/A01812291/2019	alpha	NA	NA	2002B	NA	FALSE
A01812292	2019-04-16	IN	H3N2	A/swine/Indiana/A01812292/2019	NA	IV-A	NA	2002B	NA	FALSE
A02431890	2019-03-29	IN	H1N1	A/swine/Indiana/A02431890/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02431993	2019-04-01	IN	H3N2	A/swine/Indiana/A02431993/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432302	2019-04-18	IN	H1N1	A/swine/Indiana/A02432302/2019	gamma	NA	Classical	NA	NA	FALSE
A02478453	2019-05-07	IN	H1N2	A/swine/Indiana/A02478453/2019	alpha	NA	NA	2002B	NA	FALSE
A01797990	2019-04-23	IA	H1N1	A/swine/Iowa/A01797990/2019	gamma	NA	Classical	NA	NA	FALSE
A01797991	2019-04-24	IA	H1N2	A/swine/Iowa/A01797991/2019	delta2	NA	NA	1998B	NA	FALSE
A01797993	2019-04-28	IA	H1N2	A/swine/Iowa/A01797993/2019	delta2	NA	NA	1998B	NA	FALSE
A01797994	2019-04-26	IA	H3N2	A/swine/Iowa/A01797994/2019	NA	2010.1	NA	2002B	NA	FALSE
A01797996	2019-04-17	IA	H3N2	A/swine/Iowa/A01797996/2019	NA	2010.1	NA	2002B	NA	FALSE
A01797997	2019-04-24	IA	H1N1	A/swine/Iowa/A01797997/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01797999	2019-04-23	IA	H1N1	A/swine/Iowa/A01797999/2019	gamma	NA	Classical	NA	NA	FALSE
A02245107	2019-04-18	IA	H1N1	A/swine/Iowa/A02245107/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02431782	2019-03-28	IA	H1N2	A/swine/Iowa/A02431782/2019	delta2	NA	NA	1998B	NA	FALSE
A02431884	2019-03-26	IA	H1N1	A/swine/Iowa/A02431884/2019	gamma	NA	Classical	NA	NA	FALSE
A02431885	2019-03-25	IA	H3N2	A/swine/Iowa/A02431885/2019	NA	2010.1	NA	2002A	NA	FALSE
A02431886	2019-03-29	IA	H1N2	A/swine/Iowa/A02431886/2019	gamma2-beta-like	NA	NA	TX98	NA	FALSE
A02431986	2019-04-04	IA	H3N2	A/swine/Iowa/A02431986/2019	NA	2010.1	NA	2002A	NA	FALSE
A02431987	2019-04-03	IA	H1N1	A/swine/Iowa/A02431987/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02431988	2019-04-04	IA	H3N2	A/swine/Iowa/A02431988/2019	NA	2010.1	NA	2002	NA	FALSE
A02431989	2019-04-05	IA	H1N1	A/swine/Iowa/A02431989/2019	gamma	NA	Classical	NA	NA	FALSE
A02431991	2019-04-02	IA	H3N2	A/swine/Iowa/A02431991/2019	NA	IV-A	NA	2002A	NA	FALSE
A02431996	2019-04-09	IA	H1N1	A/swine/Iowa/A02431996/2019	gamma	NA	Classical	NA	NA	FALSE
A02432000	2019-04-08	IA	H1N1	A/swine/Iowa/A02432000/2019	gamma	NA	Classical	NA	NA	FALSE
A02432064	2019-04-10	IA	H1N1	A/swine/Iowa/A02432064/2019	gamma	NA	Classical	NA	NA	FALSE
A02432068	2019-04-11	IA	H1N2	A/swine/Iowa/A02432068/2019	delta2	NA	NA	1998B	NA	FALSE
A02432126	2019-04-11	IA	H1N1	A/swine/Iowa/A02432126/2019	gamma	NA	Classical	NA	NA	FALSE
A02432155	2019-04-05	IA	H1N2	A/swine/Iowa/A02432155/2019	delta2	NA	NA	1998B	NA	FALSE
A02432156	2019-04-08	IA	H3N2	A/swine/Iowa/A02432156/2019	NA	IV-A	NA	2002B	TTTPPT	TRUE
A02432164	2019-04-10	IA	H3N2	A/swine/Iowa/A02432164/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432166	2019-04-16	IA	H1N1	A/swine/Iowa/A02432166/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02432168	2019-04-16	IA	H3N2	A/swine/Iowa/A02432168/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432304	2019-04-16	IA	H1N1	A/swine/Iowa/A02432304/2019	gamma	NA	Classical	NA	NA	FALSE
A02432317	2019-04-16	IA	H3N2	A/swine/Iowa/A02432317/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432324	2019-04-15	IA	H3N2	A/swine/Iowa/A02432324/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432339	2019-04-18	IA	H1N2	A/swine/Iowa/A02432339/2019	delta2	NA	NA	1998B	NA	FALSE
A02432372	2019-04-22	IA	H1N1	A/swine/Iowa/A02432372/2019	gamma	NA	Classical	NA	NA	FALSE
A02432380	2019-04-12	IA	H1N1	A/swine/Iowa/A02432380/2019	gamma	NA	Classical	NA	NA	FALSE
A02432381	2019-04-12	IA	H1N1	A/swine/Iowa/A02432381/2019	gamma	NA	Classical	NA	NA	FALSE
A02432383	2019-04-16	IA	H3N2	A/swine/Iowa/A02432383/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432384	2019-04-17	IA	H1N1	A/swine/Iowa/A02432384/2019	gamma2-beta-like	NA	MN99	NA	TTTPPT	TRUE
A02432385	2019-04-17	IA	H1N2	A/swine/Iowa/A02432385/2019	delta2	NA	NA	1998B	NA	FALSE
A02432387	2019-04-18	IA	H1N1	A/swine/Iowa/A02432387/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02432388	2019-04-19	IA	H1N1	A/swine/Iowa/A02432388/2019	gamma	NA	Classical	NA	NA	FALSE
A02478440	2019-04-24	IA	H1N2	A/swine/Iowa/A02478440/2019	delta2	NA	NA	1998B	NA	FALSE
A02478441	2019-04-24	IA	H1N1	A/swine/Iowa/A02478441/2019	gamma	NA	Classical	NA	NA	FALSE
A02478442	2019-04-25	IA	H1N2	A/swine/Iowa/A02478442/2019	delta2	NA	NA	1998B	NA	FALSE
A02478443	2019-04-26	IA	H1N2	A/swine/Iowa/A02478443/2019	pandemic	NA	NA	TX98	VVVVPP	TRUE
A02478444	2019-04-23	IA	H1N1	A/swine/Iowa/A02478444/2019	gamma	NA	Classical	NA	NA	FALSE
A02478445	2019-04-22	IA	H1N1	A/swine/Iowa/A02478445/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478449	2019-04-26	IA	H3N2	A/swine/Iowa/A02478449/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478455	2019-04-25	IA	H3N2	A/swine/Iowa/A02478455/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478457	2019-04-30	IA	H1N1	A/swine/Iowa/A02478457/2019	gamma	NA	Classical	NA	NA	FALSE
A02478459	2019-04-30	IA	H1N1	A/swine/Iowa/A02478459/2019	gamma	NA	Classical	NA	NA	FALSE
A02478461	2019-05-01	IA	H1N1	A/swine/Iowa/A02478461/2019	gamma	NA	Classical	NA	NA	FALSE
A02478462	2019-05-01	IA	H1N1	A/swine/Iowa/A02478462/2019	gamma	NA	Classical	NA	NA	FALSE
A02478464	2019-05-01	IA	H1N1	A/swine/Iowa/A02478464/2019	gamma	NA	Classical	NA	NA	FALSE
A02478465	2019-05-02	IA	H1N1	A/swine/Iowa/A02478465/2019	gamma	NA	Classical	NA	NA	FALSE
A02478466	2019-05-02	IA	H1N1	A/swine/Iowa/A02478466/2019	gamma	NA	Classical	NA	NA	FALSE
A02478467	2019-05-03	IA	H1N1	A/swine/Iowa/A02478467/2019	gamma	NA	Classical	NA	NA	FALSE
A02478468	2019-05-03	IA	H1N1	A/swine/Iowa/A02478468/2019	gamma	NA	Classical	NA	NA	FALSE
A02478469	2019-05-01	IA	H1N2	A/swine/Iowa/A02478469/2019	delta2	NA	NA	1998B	NA	FALSE
A02245098	2019-04-03	KS	H1N2	A/swine/Kansas/A02245098/2019	alpha	NA	NA	2002B	TTPTPT	TRUE
A02432154	2019-04-02	MI	H1N2	A/swine/Michigan/A02432154/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A02245092	2019-03-27	MN	H3N2	A/swine/Minnesota/A02245092/2019	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02245093	2019-03-27	MN	H1N1	A/swine/Minnesota/A02245093/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02245099	2019-04-03	MN	H1N1	A/swine/Minnesota/A02245099/2019	gamma	NA	Classical	NA	TTPPPT	TRUE
A02245100	2019-04-08	MN	H1N2	A/swine/Minnesota/A02245100/2019	delta2	NA	NA	1998B	NA	FALSE
A02245101	2019-04-08	MN	H1N2	A/swine/Minnesota/A02245101/2019	delta2	NA	NA	1998B	NA	FALSE
A02245104	2019-04-11	MN	H1N1	A/swine/Minnesota/A02245104/2019	gamma	NA	Classical	NA	NA	FALSE
A02245106	2019-04-16	MN	H3N2	A/swine/Minnesota/A02245106/2019	NA	2010.1	NA	2002B	NA	FALSE
A02245108	2019-04-18	MN	H1N1	A/swine/Minnesota/A02245108/2019	gamma	NA	Classical	NA	NA	FALSE
A02245110	2019-04-18	MN	H3N2	A/swine/Minnesota/A02245110/2019	NA	2010.1	NA	2002B	NA	FALSE
A02432160	2019-04-05	MN	H3N2	A/swine/Minnesota/A02432160/2019	NA	2010.1	NA	2002B	NA	FALSE
A02431992	2019-04-02	MO	H3N2	A/swine/Missouri/A02431992/2019	NA	2010.1	NA	2002A	TTTTPT	TRUE
A02432296	2019-04-16	MO	H3N2	A/swine/Missouri/A02432296/2019	NA	2010.1	NA	2002A	NA	FALSE
A02245112	2019-04-22	NE	H3N2	A/swine/Nebraska/A02245112/2019	NA	IV-A	NA	2002A	NA	FALSE
A02431880	2019-03-26	NE	H3N2	A/swine/Nebraska/A02431880/2019	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02432059	2019-04-09	NE	H3N2	A/swine/Nebraska/A02432059/2019	NA	IV-A	NA	2002A	TTTTPT	TRUE
A02432382	2019-04-15	NE	H1N1	A/swine/Nebraska/A02432382/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02432389	2019-04-18	NE	H1N1	A/swine/Nebraska/A02432389/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478447	2019-04-25	NE	H1N2	A/swine/Nebraska/A02478447/2019	delta1a	NA	NA	2002B	TTTTPT	TRUE
A02245103	2019-04-10	NC	H1N1	A/swine/North_Carolina/A02245103/2019	gamma	NA	Classical	NA	NA	FALSE
A02245114	2019-04-24	NC	H1N2	A/swine/North_Carolina/A02245114/2019	alpha	NA	NA	1998B	NA	FALSE
A02245118	2019-05-01	NC	H1N2	A/swine/North_Carolina/A02245118/2019	alpha	NA	NA	1998B	NA	FALSE
A02245119	2019-05-01	NC	H1N2	A/swine/North_Carolina/A02245119/2019	alpha	NA	NA	1998B	NA	FALSE
A02431994	2019-04-03	NC	H1N2	A/swine/North_Carolina/A02431994/2019	delta2	NA	NA	2002B	TTTPPT	TRUE
A02431998	2019-04-08	NC	H1N2	A/swine/North_Carolina/A02431998/2019	alpha	NA	NA	2002B	NA	FALSE
A02431999	2019-04-08	NC	H1N2	A/swine/North_Carolina/A02431999/2019	alpha	NA	NA	2002B	NA	FALSE
A02432158	2019-04-08	NC	H1N2	A/swine/North_Carolina/A02432158/2019	alpha	NA	NA	2002B	NA	FALSE
A02432161	2019-04-04	NC	H1N1	A/swine/North_Carolina/A02432161/2019	gamma	NA	Classical	NA	NA	FALSE
A02478450	2019-04-29	NC	H1N2	A/swine/North_Carolina/A02478450/2019	alpha	NA	NA	2002B	NA	FALSE
A01797995	2019-04-23	OH	H3N2	A/swine/Ohio/A01797995/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02245094	2019-03-27	OK	H1N1	A/swine/Oklahoma/A02245094/2019	beta	NA	Classical	NA	TTTTPT	TRUE
A02245097	2019-04-03	OK	H1N2	A/swine/Oklahoma/A02245097/2019	alpha	NA	NA	2002B	NA	FALSE
A02245105	2019-04-15	OK	H1N2	A/swine/Oklahoma/A02245105/2019	delta1a	NA	NA	2002A	TTTPPT	TRUE
A02245109	2019-04-18	OK	H1N2	A/swine/Oklahoma/A02245109/2019	alpha	NA	NA	2002B	NA	FALSE
A02431948	2019-04-03	OK	H3N2	A/swine/Oklahoma/A02431948/2019	NA	IV-A	NA	2002B	NA	FALSE
A02432140	2019-04-11	PA	H1N2	A/swine/Pennsylvania/A02432140/2019	delta2	NA	NA	1998B	NA	FALSE
A02432157	2019-04-08	PA	H1N2	A/swine/Pennsylvania/A02432157/2019	delta2	NA	NA	1998B	TTTPPT	TRUE
A02432159	2019-04-04	SD	H1N1	A/swine/South_Dakota/A02432159/2019	gamma	NA	Classical	NA	TTTPPT	TRUE
A02245102	2019-04-11	UT	H3N2	A/swine/Utah/A02245102/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02432386	2019-04-18	UT	H1N1	A/swine/Utah/A02432386/2019	pandemic	NA	Pandemic	NA	TTPTPT	TRUE
A02478454	2019-04-26	VA	H3N2	A/swine/Virginia/A02478454/2019	NA	2010.1	NA	2002B	TTTTPT	TRUE
A02478479	2019-05-08	IL	H3N2	A/swine/Illinois/A02478479/2019	NA	I	NA	TX98	NA	FALSE
A02478492	2019-05-10	IL	H1N2	A/swine/Illinois/A02478492/2019	alpha	NA	NA	1998B	NA	FALSE
A02478493	2019-05-14	IL	H3N2	A/swine/Illinois/A02478493/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478511	2019-05-22	IL	H1N2	A/swine/Illinois/A02478511/2019	alpha	NA	NA	1998B	NA	FALSE
A02478513	2019-05-21	IL	H1N2	A/swine/Illinois/A02478513/2019	alpha	NA	NA	2002B	NA	FALSE
A02245120	2019-04-30	IA	H1N2	A/swine/Iowa/A02245120/2019	delta2	NA	NA	1998B	NA	FALSE
A02245163	2019-05-31	IA	H1N2	A/swine/Iowa/A02245163/2019	delta2	NA	NA	1998B	NA	FALSE
A02478446	2019-04-26	IA	H3N2	A/swine/Iowa/A02478446/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478452	2019-05-08	IA	H1N2	A/swine/Iowa/A02478452/2019	delta2	NA	NA	1998B	NA	FALSE
A02478460	2019-04-30	IA	H1N2	A/swine/Iowa/A02478460/2019	delta2	NA	NA	1998B	NA	FALSE
A02478473	2019-05-03	IA	H1N1	A/swine/Iowa/A02478473/2019	gamma	NA	Classical	NA	NA	FALSE
A02478474	2019-05-06	IA	H1N1	A/swine/Iowa/A02478474/2019	gamma	NA	Classical	NA	NA	FALSE
A02478476	2019-05-06	IA	H1N1	A/swine/Iowa/A02478476/2019	gamma	NA	Classical	NA	NA	FALSE
A02478480	2019-05-06	IA	H1N1	A/swine/Iowa/A02478480/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478481	2019-05-08	IA	H1N1	A/swine/Iowa/A02478481/2019	gamma	NA	Classical	NA	NA	FALSE
A02478483	2019-05-15	IA	H3N2	A/swine/Iowa/A02478483/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478486	2019-05-16	IA	H3N2	A/swine/Iowa/A02478486/2019	NA	2010.1	NA	TX98	NA	FALSE
A02478487	2019-05-13	IA	H1N1	A/swine/Iowa/A02478487/2019	gamma	NA	Classical	NA	NA	FALSE
A02478488	2019-05-10	IA	H3N2	A/swine/Iowa/A02478488/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478489	2019-05-14	IA	H1N1	A/swine/Iowa/A02478489/2019	gamma	NA	Classical	NA	NA	FALSE
A02478490	2019-05-09	IA	H3N2	A/swine/Iowa/A02478490/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478491	2019-05-10	IA	H1N2	A/swine/Iowa/A02478491/2019	delta2	NA	NA	1998B	NA	FALSE
A02478494	2019-05-16	IA	H3N2	A/swine/Iowa/A02478494/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478496	2019-05-15	IA	H1N1	A/swine/Iowa/A02478496/2019	gamma	NA	Classical	NA	NA	FALSE
A02478505	2019-05-29	IA	H1N2	A/swine/Iowa/A02478505/2019	delta2	NA	NA	1998B	NA	FALSE
A02478507	2019-05-24	IA	H3N2	A/swine/Iowa/A02478507/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478508	2019-05-23	IA	H1N2	A/swine/Iowa/A02478508/2019	delta2	NA	NA	1998B	NA	FALSE
A02478509	2019-05-23	IA	H1N1	A/swine/Iowa/A02478509/2019	gamma	NA	Classical	NA	NA	FALSE
A02478512	2019-05-22	IA	H1N2	A/swine/Iowa/A02478512/2019	delta2	NA	NA	1998B	NA	FALSE
A02478516	2019-05-20	IA	H3N2	A/swine/Iowa/A02478516/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478517	2019-05-17	IA	H1N2	A/swine/Iowa/A02478517/2019	delta2	NA	NA	1998B	NA	FALSE
A02478519	2019-06-03	IA	H3N2	A/swine/Iowa/A02478519/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478521	2019-05-31	IA	H3N2	A/swine/Iowa/A02478521/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478522	2019-05-28	IA	H3N2	A/swine/Iowa/A02478522/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478523	2019-05-29	IA	H1N1	A/swine/Iowa/A02478523/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478524	2019-05-30	IA	H1N1	A/swine/Iowa/A02478524/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478525	2019-05-28	IA	H1N1	A/swine/Iowa/A02478525/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478527	2019-05-31	IA	H1N1	A/swine/Iowa/A02478527/2019	gamma	NA	Classical	NA	NA	FALSE
A02478501	2019-05-23	KS	H1N2	A/swine/Kansas/A02478501/2019	delta1b	NA	NA	2002A	NA	FALSE
A02245111	2019-04-21	MN	H1N2	A/swine/Minnesota/A02245111/2019	delta2	NA	NA	1998B	NA	FALSE
A02245116	2019-04-25	MN	H1N1	A/swine/Minnesota/A02245116/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02245131	2019-05-13	MN	H1N1	A/swine/Minnesota/A02245131/2019	gamma	NA	Classical	NA	NA	FALSE
A02245133	2019-05-15	MN	H3N2	A/swine/Minnesota/A02245133/2019	NA	2010.1	NA	2002B	NA	FALSE
A02245136	2019-05-16	MN	H1N1	A/swine/Minnesota/A02245136/2019	gamma	NA	Classical	NA	NA	FALSE
A02245138	2019-05-20	MN	H1N2	A/swine/Minnesota/A02245138/2019	delta2	NA	NA	1998B	NA	FALSE
A02245143	2019-05-23	MN	H1N2	A/swine/Minnesota/A02245143/2019	alpha	NA	NA	2002B	NA	FALSE
A02478471	2019-05-02	MN	H1N1	A/swine/Minnesota/A02478471/2019	gamma	NA	Classical	NA	NA	FALSE
A02478475	2019-05-03	MN	H1N2	A/swine/Minnesota/A02478475/2019	delta2	NA	NA	1998B	NA	FALSE
A02478478	2019-05-06	MN	H1N2	A/swine/Minnesota/A02478478/2019	delta2	NA	NA	1998B	NA	FALSE
A02478497	2019-05-16	MO	H3N2	A/swine/Missouri/A02478497/2019	NA	I	NA	2016	NA	FALSE
A02478500	2019-05-21	MO	H1N1	A/swine/Missouri/A02478500/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01378044	2019-05-23	NE	H1N2	A/swine/Nebraska/A01378044/2019	gamma2-beta-like	NA	NA	2002B	TVVPPT	TRUE
A02245115	2019-04-23	NC	H1N2	A/swine/North_Carolina/A02245115/2019	delta2	NA	NA	1998B	NA	FALSE
A02245122	2019-05-02	NC	H1N2	A/swine/North_Carolina/A02245122/2019	delta2	NA	NA	1998B	NA	FALSE
A02245123	2019-05-01	NC	H1N2	A/swine/North_Carolina/A02245123/2019	alpha	NA	NA	1998B	NA	FALSE
A02245124	2019-05-03	NC	H1N2	A/swine/North_Carolina/A02245124/2019	alpha	NA	NA	1998B	NA	FALSE
A02245127	2019-05-09	NC	H1N2	A/swine/North_Carolina/A02245127/2019	alpha	NA	NA	1998B	NA	FALSE
A02245128	2019-05-09	NC	H1N2	A/swine/North_Carolina/A02245128/2019	alpha	NA	NA	1998B	NA	FALSE
A02245129	2019-05-12	NC	H3N2	A/swine/North_Carolina/A02245129/2019	NA	2010.1	NA	2002B	NA	FALSE
A02245130	2019-05-09	NC	H1N2	A/swine/North_Carolina/A02245130/2019	alpha	NA	NA	1998B	NA	FALSE
A02245135	2019-05-15	NC	H1N2	A/swine/North_Carolina/A02245135/2019	alpha	NA	NA	1998B	NA	FALSE
A02245141	2019-05-22	NC	H1N2	A/swine/North_Carolina/A02245141/2019	alpha	NA	NA	1998B	NA	FALSE
A02245164	2019-05-30	NC	H1N2	A/swine/North_Carolina/A02245164/2019	alpha	NA	NA	1998B	NA	FALSE
A02478514	2019-05-21	NC	H1N2	A/swine/North_Carolina/A02478514/2019	delta2	NA	NA	1998B	NA	FALSE
A02478485	2019-05-15	OH	H1N1	A/swine/Ohio/A02478485/2019	gamma	NA	Classical	NA	NA	FALSE
A02245121	2019-05-01	OK	H1N2	A/swine/Oklahoma/A02245121/2019	alpha	NA	NA	2002B	NA	FALSE
A02245144	2019-05-23	OK	H1N2	A/swine/Oklahoma/A02245144/2019	alpha	NA	NA	2002B	NA	FALSE
A02478506	2019-05-23	SD	H1N1	A/swine/South_Dakota/A02478506/2019	gamma	NA	Classical	NA	NA	FALSE
A02478532	2019-05-30	IL	H3N2	A/swine/Illinois/A02478532/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478554	2019-06-10	IL	H3N2	A/swine/Illinois/A02478554/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478555	2019-06-17	IL	H1N1	A/swine/Illinois/A02478555/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A01812293	2019-05-03	IN	H1N2	A/swine/Indiana/A01812293/2019	delta1a	NA	NA	2002B	NA	FALSE
A02478567	2019-06-25	IN	H1N2	A/swine/Indiana/A02478567/2019	delta2	NA	NA	1998B	NA	FALSE
A02245189	2019-06-27	IA	H1N1	A/swine/Iowa/A02245189/2019	gamma	NA	Classical	NA	NA	FALSE
A02245195	2019-07-09	IA	H1N2	A/swine/Iowa/A02245195/2019	delta2	NA	NA	1998B	NA	FALSE
A02478515	2019-05-20	IA	H1N2	A/swine/Iowa/A02478515/2019	alpha	NA	NA	2002B	NA	FALSE
A02478529	2019-06-05	IA	H3N2	A/swine/Iowa/A02478529/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478531	2019-06-07	IA	H1N2	A/swine/Iowa/A02478531/2019	delta1a	NA	NA	2002B	NA	FALSE
A02478535	2019-05-31	IA	H1N2	A/swine/Iowa/A02478535/2019	delta2	NA	NA	1998B	NA	FALSE
A02478536	2019-06-03	IA	H3N2	A/swine/Iowa/A02478536/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478537	2019-06-05	IA	H1N1	A/swine/Iowa/A02478537/2019	gamma	NA	Classical	NA	NA	FALSE
A02478538	2019-06-05	IA	H1N2	A/swine/Iowa/A02478538/2019	delta2	NA	NA	1998B	NA	FALSE
A02478542	2019-06-14	IA	H3N2	A/swine/Iowa/A02478542/2019	NA	IV-A	NA	2002B	NA	FALSE
A02478548	2019-06-11	IA	H3N2	A/swine/Iowa/A02478548/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478549	2019-06-12	IA	H1N1	A/swine/Iowa/A02478549/2019	gamma	NA	Classical	NA	NA	FALSE
A02478557	2019-06-18	IA	H3N2	A/swine/Iowa/A02478557/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478559	2019-06-18	IA	H1N2	A/swine/Iowa/A02478559/2019	delta1a	NA	NA	2002A	NA	FALSE
A02478560	2019-06-17	IA	H1N1	A/swine/Iowa/A02478560/2019	gamma	NA	Classical	NA	NA	FALSE
A02478561	2019-06-20	IA	H1N2	A/swine/Iowa/A02478561/2019	delta2	NA	NA	1998B	NA	FALSE
A02478563	2019-06-19	IA	H3N2	A/swine/Iowa/A02478563/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478568	2019-06-27	IA	H1N2	A/swine/Iowa/A02478568/2019	delta1a	NA	NA	2002B	NA	FALSE
A02478570	2019-07-01	IA	H3N2	A/swine/Iowa/A02478570/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478574	2019-06-26	IA	H1N1	A/swine/Iowa/A02478574/2019	gamma	NA	Classical	NA	NA	FALSE
A02478575	2019-07-01	IA	H3N2	A/swine/Iowa/A02478575/2019	NA	2010.1	NA	2002B	NA	FALSE
A02478580	2019-07-02	IA	H1N2	A/swine/Iowa/A02478580/2019	delta2	NA	NA	1998B	NA	FALSE
A02245172	2019-06-12	MN	H1N2	A/swine/Minnesota/A02245172/2019	delta2	NA	NA	1998B	NA	FALSE
A02245173	2019-06-14	MN	H1N2	A/swine/Minnesota/A02245173/2019	delta2	NA	NA	1998B	NA	FALSE
A02245175	2019-06-14	MN	H1N1	A/swine/Minnesota/A02245175/2019	gamma	NA	Classical	NA	NA	FALSE
A02245180	2019-06-19	MN	H3N2	A/swine/Minnesota/A02245180/2019	NA	2010.1	NA	2002B	NA	FALSE
A02245185	2019-06-20	MN	H1N2	A/swine/Minnesota/A02245185/2019	delta2	NA	NA	1998B	NA	FALSE
A02245186	2019-06-26	MN	H1N1	A/swine/Minnesota/A02245186/2019	gamma	NA	Classical	NA	NA	FALSE
A02245187	2019-06-26	MN	H1N2	A/swine/Minnesota/A02245187/2019	alpha	NA	NA	2002B	NA	FALSE
A02478566	2019-06-24	MN	H1N1	A/swine/Minnesota/A02478566/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02478546	2019-06-11	NE	H1N1	A/swine/Nebraska/A02478546/2019	pandemic	NA	Pandemic	NA	NA	FALSE
A02245147	2019-05-29	NC	H1N2	A/swine/North_Carolina/A02245147/2019	alpha	NA	NA	1998B	NA	FALSE
A02245166	2019-06-04	NC	H1N2	A/swine/North_Carolina/A02245166/2019	alpha	NA	NA	1998B	NA	FALSE
A02245168	2019-06-06	NC	H1N2	A/swine/North_Carolina/A02245168/2019	alpha	NA	NA	1998B	NA	FALSE
A02245170	2019-06-12	NC	H3N2	A/swine/North_Carolina/A02245170/2019	NA	2010.1	NA	2002B	NA	FALSE
A02245171	2019-06-14	NC	H1N2	A/swine/North_Carolina/A02245171/2019	delta2	NA	NA	1998B	NA	FALSE
